Namespace(ignore_case=False, order=4, ref='./scores_regless/w01/gen.out.ref', sacrebleu=False, sentence_bleu=True, sys='./scores_regless/w01/gen.out.sys')
67 BLEU4 = 45.18, 50.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
68 BLEU4 = 22.96, 33.3/16.7/20.0/25.0 (BP=1.000, ratio=1.500, syslen=6, reflen=4)
69 BLEU4 = 45.18, 50.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
70 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
71 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
72 BLEU4 = 44.72, 80.0/60.0/25.0/33.3 (BP=1.000, ratio=1.250, syslen=5, reflen=4)
73 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
74 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
75 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
76 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
77 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.333, syslen=4, reflen=3)
78 BLEU4 = 54.44, 100.0/66.7/50.0/100.0 (BP=0.717, ratio=0.750, syslen=3, reflen=4)
79 BLEU4 = 0.00, 0.0/33.3/50.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
80 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
81 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
82 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
83 BLEU4 = 65.80, 75.0/75.0/66.7/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
84 BLEU4 = 55.07, 100.0/75.0/66.7/50.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
85 BLEU4 = 22.84, 28.6/28.6/16.7/20.0 (BP=1.000, ratio=1.750, syslen=7, reflen=4)
86 BLEU4 = 44.72, 80.0/60.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
87 BLEU4 = 54.44, 100.0/66.7/50.0/100.0 (BP=0.717, ratio=0.750, syslen=3, reflen=4)
88 BLEU4 = 44.72, 80.0/60.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
89 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
90 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
91 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
92 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
93 BLEU4 = 41.37, 66.7/33.3/50.0/100.0 (BP=0.717, ratio=0.750, syslen=3, reflen=4)
94 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
95 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
96 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
97 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
98 BLEU4 = 70.71, 50.0/50.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
99 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
100 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
101 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
102 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
103 BLEU4 = 70.71, 50.0/50.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
104 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
105 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
106 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
107 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
108 BLEU4 = 70.71, 50.0/50.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=2, reflen=2)
109 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
110 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
111 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
112 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
113 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
114 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
115 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
116 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
117 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
118 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
119 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
120 BLEU4 = 30.21, 50.0/33.3/20.0/25.0 (BP=1.000, ratio=1.200, syslen=6, reflen=5)
121 BLEU4 = 42.89, 50.0/50.0/100.0/100.0 (BP=0.607, ratio=0.667, syslen=2, reflen=3)
122 BLEU4 = 22.31, 100.0/100.0/100.0/100.0 (BP=0.223, ratio=0.400, syslen=2, reflen=5)
123 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
124 BLEU4 = 37.99, 50.0/25.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
125 BLEU4 = 65.80, 75.0/75.0/66.7/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
126 BLEU4 = 19.21, 28.6/14.3/16.7/20.0 (BP=1.000, ratio=1.750, syslen=7, reflen=4)
127 BLEU4 = 39.01, 100.0/66.7/50.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
128 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
129 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
130 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
131 BLEU4 = 77.88, 100.0/100.0/100.0/100.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
132 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
133 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
134 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
135 BLEU4 = 44.72, 80.0/60.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
136 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
137 BLEU4 = 22.96, 33.3/16.7/20.0/25.0 (BP=1.000, ratio=1.500, syslen=6, reflen=4)
138 BLEU4 = 68.66, 66.7/66.7/50.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
139 BLEU4 = 53.18, 80.0/60.0/50.0/33.3 (BP=1.000, ratio=1.250, syslen=5, reflen=4)
140 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
141 BLEU4 = 65.80, 75.0/75.0/66.7/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
142 BLEU4 = 53.18, 80.0/60.0/50.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
143 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
144 BLEU4 = 38.94, 75.0/50.0/33.3/50.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
145 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
146 BLEU4 = 32.47, 66.7/33.3/20.0/25.0 (BP=1.000, ratio=1.200, syslen=6, reflen=5)
147 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
148 BLEU4 = 33.98, 80.0/20.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
149 BLEU4 = 28.57, 40.0/20.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
150 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
151 BLEU4 = 31.62, 60.0/20.0/25.0/33.3 (BP=1.000, ratio=1.250, syslen=5, reflen=4)
152 BLEU4 = 53.18, 80.0/60.0/50.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
153 BLEU4 = 32.47, 66.7/33.3/20.0/25.0 (BP=1.000, ratio=1.200, syslen=6, reflen=5)
154 BLEU4 = 16.52, 25.0/12.5/14.3/16.7 (BP=1.000, ratio=2.000, syslen=8, reflen=4)
155 BLEU4 = 51.25, 75.0/75.0/66.7/50.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
156 BLEU4 = 44.72, 80.0/60.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
157 BLEU4 = 44.72, 80.0/60.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
158 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
159 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
160 BLEU4 = 68.66, 66.7/66.7/50.0/100.0 (BP=1.000, ratio=1.000, syslen=3, reflen=3)
161 BLEU4 = 48.55, 33.3/33.3/50.0/100.0 (BP=1.000, ratio=1.500, syslen=3, reflen=2)
162 BLEU4 = 28.57, 40.0/20.0/25.0/33.3 (BP=1.000, ratio=1.250, syslen=5, reflen=4)
163 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
164 BLEU4 = 37.99, 50.0/25.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
165 BLEU4 = 33.98, 40.0/40.0/25.0/33.3 (BP=1.000, ratio=1.250, syslen=5, reflen=4)
166 BLEU4 = 50.00, 75.0/50.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
167 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
168 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
169 BLEU4 = 51.25, 75.0/75.0/66.7/50.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
170 BLEU4 = 30.06, 57.1/42.9/16.7/20.0 (BP=1.000, ratio=1.400, syslen=7, reflen=5)
171 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
172 BLEU4 = 55.07, 100.0/75.0/66.7/50.0 (BP=0.779, ratio=0.800, syslen=4, reflen=5)
173 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
174 BLEU4 = 28.57, 40.0/20.0/25.0/33.3 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
175 BLEU4 = 100.00, 100.0/100.0/100.0/100.0 (BP=1.000, ratio=1.000, syslen=5, reflen=5)
176 BLEU4 = 51.34, 100.0/100.0/100.0/100.0 (BP=0.513, ratio=0.600, syslen=3, reflen=5)
177 BLEU4 = 37.99, 50.0/25.0/33.3/50.0 (BP=1.000, ratio=1.000, syslen=4, reflen=4)
